audio_file,top10_neuron_indices
audio-1490281013-headset,"42,29,83,34,10,2,88,19,70,27"
audio-1498569240-headset,"22,13,72,54,70,48,30,2,83,46"
audio-1501756957-headset,"29,81,2,30,72,46,83,27,64,32"
audio-1502376952-headset,"19,22,32,57,13,77,9,78,42,29"
