audio_file,top10_neuron_indices
audio--1504191246-headset,"81,27,13,32,72,71,57,19,42,34"
audio--1504191246,"9,22,27,81,72,1,33,2,70,10"
audio--1504191265-headset,"70,30,29,19,63,10,44,64,80,34"
audio--1504191265,"71,78,9,29,46,30,72,32,33,88"
audio--1504191278-headset,"1,88,83,63,33,16,70,22,30,4"
audio--1504191278,"83,33,77,15,71,30,78,81,42,48"
audio--1504191289-headset,"15,71,13,48,10,29,77,63,57,45"
audio--1504191289,"9,77,42,46,22,13,15,78,10,33"
audio--1504191316-headset,"33,80,81,13,32,88,83,9,34,22"
audio--1504191316,"30,72,32,9,34,16,29,63,46,27"
audio--1504191344-headset,"30,57,88,34,15,32,22,72,1,42"
audio--1504191344,"33,78,1,48,57,83,81,10,22,9"
audio--1504191362-headset,"13,27,32,30,15,34,46,9,81,63"
audio--1504191362,"33,15,46,22,27,32,30,42,1,10"
audio--1504191369-headset,"32,88,27,19,34,1,54,83,15,70"
audio--1504191369,"81,71,16,13,27,22,9,46,33,29"
audio--1504191382-headset,"19,83,13,2,34,88,33,78,57,46"
audio--1504191382,"57,27,77,72,70,2,71,1,80,88"
audio--1504191411-headset,"32,10,13,30,70,71,27,81,29,64"
audio--1504191411,"78,22,1,45,88,46,81,19,71,9"
audio--1504191460-headset,"33,16,88,57,19,10,30,34,78,42"
audio--1504191460,"77,72,71,63,15,9,13,57,22,70"
audio--1504191520-headset,"42,34,57,70,32,78,2,27,10,77"
audio--1504191520,"22,80,57,10,88,70,30,27,19,71"
audio--1504191551-headset,"33,1,9,88,16,34,4,46,63,81"
audio--1504191551,"83,33,48,45,46,29,78,57,34,4"
audio--1504191557-headset,"13,32,10,72,1,78,33,88,70,64"
audio--1504191557,"9,48,2,46,88,60,22,27,4,78"
audio--1504191568-headset,"15,19,88,33,32,16,4,2,64,86"
audio--1504191568,"48,22,30,2,46,9,32,78,60,34"
audio--1504191571-headset,"83,19,10,42,32,22,77,71,63,33"
audio--1504191571,"80,78,27,46,54,2,22,83,34,13"
audio--1504191592-headset,"72,9,16,10,30,57,81,32,13,46"
audio--1504191592,"2,13,46,29,78,71,27,33,30,9"
audio--1504192100-headset,"71,33,19,2,1,48,78,63,70,64"
audio--1504192100,"34,63,78,19,64,48,33,15,83,57"
audio--1504192136-headset,"45,71,2,78,48,33,30,77,29,88"
audio--1504192136,"10,78,33,48,15,58,46,88,13,83"
audio--1504192153-headset,"71,30,27,78,42,33,46,1,83,72"
audio--1504192153,"30,81,70,78,10,88,19,48,34,22"
audio--1504192184-headset,"33,2,13,64,34,30,29,77,22,32"
audio--1504192184,"88,15,29,22,9,32,46,70,33,71"
audio--1504192206-headset,"57,9,1,77,83,32,71,72,10,22"
audio--1504192206,"58,9,32,15,2,4,1,10,78,44"
audio--1504192211-headset,"30,13,10,9,70,16,34,71,27,42"
audio--1504192211,"57,10,30,13,19,15,22,88,29,34"
audio--1504192261-headset,"78,13,1,42,27,63,83,19,22,32"
audio--1504192261,"32,78,27,42,29,48,60,80,83,34"
audio--1504192272-headset,"77,30,57,2,13,32,42,70,71,33"
audio--1504192272,"77,42,81,78,64,22,48,71,9,34"
audio--1504192283-headset,"1,71,46,13,72,63,27,9,29,57"
audio--1504192283,"71,48,2,46,22,15,83,88,77,1"
audio--1504192293-headset,"71,32,45,64,78,48,72,46,9,30"
audio--1504192293,"71,70,4,2,13,48,9,34,29,46"
audio--1504192304-headset,"78,81,70,34,9,58,27,30,57,15"
audio--1504192304,"72,27,29,1,19,45,4,10,88,13"
audio--1504192382-headset,"9,30,70,10,81,29,72,13,57,88"
audio--1504192382,"9,78,10,1,64,27,16,15,48,2"
audio--1504192388-headset,"19,57,83,9,1,42,13,72,64,33"
audio--1504192388,"33,48,22,77,2,46,88,83,42,29"
audio--1504192396-headset,"13,48,70,1,64,72,32,29,33,46"
audio--1504192396,"4,27,33,30,1,34,13,19,57,77"
audio--1504192429-headset,"32,27,9,1,77,30,80,78,42,64"
audio--1504192429,"57,10,13,70,9,42,54,88,64,22"
audio--1504192439-headset,"64,34,32,81,29,1,9,78,13,88"
audio--1504192439,"10,42,57,63,33,83,48,16,81,32"
audio--1504192462-headset,"29,83,70,30,33,1,86,78,71,34"
audio--1504192462,"29,19,10,27,42,88,16,78,34,81"
audio--1504192465-headset,"1,34,83,2,10,48,33,81,42,32"
audio--1504192465,"22,77,30,19,72,71,34,70,10,27"
audio--1504192473-headset,"83,27,32,60,48,13,1,34,64,70"
audio--1504192473,"27,34,63,57,19,71,48,10,81,30"
audio--1504192489-headset,"83,34,15,30,48,10,72,29,88,45"
audio--1504192489,"32,78,30,22,33,83,42,57,34,27"
audio--1504192513-headset,"33,42,19,2,57,32,88,72,27,81"
audio--1504192513,"78,10,1,32,19,71,13,83,22,42"
audio--1504192518-headset,"10,64,19,15,13,1,22,72,42,34"
audio--1504192518,"29,22,2,83,10,77,9,34,71,1"
audio--1504192520-headset,"2,70,64,10,83,27,29,42,48,22"
audio--1504192520,"71,30,42,19,57,29,13,9,22,15"
audio--1504192533-headset,"13,33,1,78,27,57,71,32,10,42"
audio--1504192533,"32,2,57,80,16,29,81,48,9,30"
audio--1504192539-headset,"32,13,33,2,48,72,19,42,30,9"
audio--1504192539,"34,13,46,48,1,42,77,15,10,32"
audio--1504192586-headset,"42,22,33,34,1,88,13,71,48,60"
audio--1504192586,"9,13,46,57,88,30,16,22,72,48"
audio--1504192610-headset,"78,1,42,32,48,57,70,9,22,13"
audio--1504192610,"29,33,81,63,70,86,9,48,80,71"
audio--1504192644-headset,"34,22,88,1,32,13,46,9,81,2"
audio--1504192644,"15,71,80,57,27,29,19,72,2,81"
audio--1504192655-headset,"83,48,64,29,78,4,22,72,1,27"
audio--1504192655,"22,83,78,48,29,77,72,19,57,27"
audio--1504192687-headset,"68,64,46,88,19,9,1,29,33,32"
audio--1504192687,"13,9,15,1,32,71,29,63,57,81"
audio--1504192689-headset,"2,1,64,9,48,19,22,34,80,33"
audio--1504192689,"48,33,2,9,83,70,45,34,32,10"
audio--1504192692-headset,"34,30,57,32,77,13,9,10,27,42"
audio--1504192692,"29,81,45,77,70,71,27,15,83,42"
audio--1504192704-headset,"48,46,27,42,29,15,71,88,1,34"
audio--1504192704,"10,34,2,83,9,19,77,78,13,15"
audio--1504192724-headset,"13,2,83,71,16,30,33,42,22,81"
audio--1504192724,"1,29,46,72,30,57,10,27,32,58"
audio--1504192726-headset,"13,71,78,32,9,81,34,57,42,45"
audio--1504192726,"81,1,30,34,27,71,70,29,2,33"
audio--1504192738-headset,"33,48,27,2,9,13,30,81,57,70"
audio--1504192738,"88,64,77,22,46,32,71,9,48,63"
audio--1504192745-headset,"15,27,10,1,29,16,9,64,33,34"
audio--1504192745,"19,77,64,33,13,88,9,72,71,83"
audio--1504192750-headset,"88,83,77,81,57,9,15,63,27,33"
audio--1504192750,"9,88,34,2,1,4,72,33,78,29"
audio--1504192758-headset,"42,13,2,72,70,57,48,22,29,15"
audio--1504192758,"88,32,1,78,13,2,9,57,22,42"
audio--1504192812-headset,"45,33,10,78,70,34,83,64,71,30"
audio--1504192812,"81,71,30,1,46,27,64,9,32,70"
audio--1504192815-headset,"78,19,30,9,2,64,32,42,1,10"
audio--1504192815,"83,33,1,34,64,57,48,46,27,63"
audio--1504192828-headset,"22,13,88,81,27,4,9,71,30,77"
audio--1504192828,"30,34,2,77,29,9,15,71,13,19"
audio--1504192831-headset,"72,34,42,83,13,27,78,32,57,22"
audio--1504192831,"88,9,54,27,45,13,57,52,29,10"
audio--1504192844-headset,"32,88,45,33,15,2,80,34,22,48"
audio--1504192844,"30,15,9,1,48,2,13,29,71,81"
audio--1504192873-headset,"30,71,78,33,1,83,32,15,64,10"
audio--1504192873,"34,71,46,32,70,30,81,42,1,10"
audio--1504192875-headset,"29,1,27,33,78,83,10,70,30,15"
audio--1504192875,"13,70,83,57,71,9,10,42,30,64"
audio--1504192882-headset,"1,48,88,42,13,10,15,83,9,64"
audio--1504192882,"42,46,48,30,81,10,16,34,15,72"
audio--1504192889-headset,"83,42,46,10,32,70,33,9,77,15"
audio--1504192889,"22,32,42,46,10,34,78,1,71,27"
audio--1504192907-headset,"15,33,88,72,78,19,22,2,27,30"
audio--1504192907,"71,34,27,22,10,16,32,4,2,46"
audio--1504192922-headset,"88,1,29,33,57,54,71,72,32,45"
audio--1504192922,"45,70,48,57,30,77,83,71,19,14"
audio--1504192936-headset,"29,27,83,22,64,72,2,32,30,9"
audio--1504192936,"70,13,88,42,34,10,30,9,64,46"
audio--1504192948-headset,"83,29,81,30,77,46,78,10,58,1"
audio--1504192948,"30,88,64,48,27,70,52,32,22,16"
audio--1504192967-headset,"81,83,9,2,30,46,80,78,72,71"
audio--1504192967,"77,19,83,22,71,2,78,33,1,27"
audio--1504192976-headset,"34,1,9,10,33,64,71,30,83,78"
audio--1504192976,"45,48,78,19,29,1,70,72,33,71"
audio--1504192997-headset,"15,1,72,29,48,9,10,33,34,64"
audio--1504192997,"29,42,45,33,22,70,78,13,77,9"
audio--1504193014-headset,"77,80,34,1,78,48,33,83,32,64"
audio--1504193014,"46,34,48,30,45,22,27,70,88,83"
audio--1504193042-headset,"13,88,34,42,48,22,27,78,30,1"
audio--1504193042,"1,34,30,27,81,32,88,48,45,10"
audio--1504193057-headset,"15,64,2,27,4,83,33,60,68,71"
audio--1504193057,"30,9,34,27,19,42,10,72,46,81"
audio--1504193105-headset,"1,22,46,13,71,88,27,32,81,52"
audio--1504193105,"30,13,57,2,64,33,70,88,46,22"
audio--1504193107-headset,"78,9,15,88,72,46,19,13,32,42"
audio--1504193107,"19,44,34,27,32,81,70,22,48,58"
audio--1504193117-headset,"10,15,57,88,48,19,72,9,83,33"
audio--1504193117,"10,42,9,13,16,33,83,64,34,80"
audio--1504193120-headset,"22,71,58,88,30,1,86,70,72,19"
audio--1504193120,"10,72,15,13,81,57,4,60,1,16"
audio--1504193133-headset,"19,88,57,27,45,9,54,71,78,83"
audio--1504193133,"83,13,48,58,16,46,81,22,70,77"
audio--1504193140-headset,"30,46,13,54,15,22,32,42,70,64"
audio--1504193140,"27,22,29,13,78,71,46,81,57,64"
audio--1504193142-headset,"22,27,32,30,13,42,34,88,15,33"
audio--1504193142,"27,88,46,13,4,48,33,80,57,19"
audio--1504193148-headset,"27,57,78,15,63,60,32,88,42,71"
audio--1504193148,"88,46,48,9,70,30,78,81,42,22"
audio--1504193156-headset,"1,33,13,10,32,88,78,57,27,34"
audio--1504193156,"83,2,48,1,46,29,10,70,4,27"
audio--1504193190-headset,"48,10,15,45,32,88,70,9,34,2"
audio--1504193190,"46,70,16,45,15,77,72,4,2,9"
audio--1504193201-headset,"48,10,1,78,88,54,64,33,34,9"
audio--1504193201,"42,71,13,33,83,32,72,1,64,77"
audio--1504193217-headset,"30,64,46,71,27,57,10,72,88,77"
audio--1504193217,"71,81,22,83,4,77,63,42,2,14"
audio--1504193220-headset,"63,81,22,71,77,29,19,42,1,15"
audio--1504193220,"34,1,27,2,22,19,13,10,81,15"
audio--1504193225-headset,"57,72,48,46,80,32,4,88,1,34"
audio--1504193225,"71,48,27,77,81,57,9,32,80,34"
audio--1504193237-headset,"78,48,80,47,33,15,30,13,42,71"
audio--1504193237,"70,42,19,71,33,81,46,2,9,29"
audio--1504193249-headset,"81,33,34,29,42,1,16,48,77,10"
audio--1504193249,"57,22,19,88,72,46,34,81,33,10"
audio--1504193254-headset,"71,64,30,68,60,81,29,47,22,37"
audio--1504193254,"10,13,77,42,83,19,48,78,71,81"
audio--1504193275-headset,"42,10,1,46,64,33,13,30,60,80"
audio--1504193275,"22,10,77,30,88,34,15,9,32,83"
audio--1504193293-headset,"32,88,9,42,22,48,57,83,78,33"
audio--1504193293,"4,19,48,57,30,70,33,9,13,15"
audio--1504193307-headset,"15,19,72,57,2,30,80,81,42,1"
audio--1504193307,"29,9,42,88,22,32,13,19,33,34"
audio--1504193348-headset,"22,32,78,33,57,63,88,1,30,46"
audio--1504193348,"29,4,48,33,72,22,57,88,2,30"
