audio_file,top10_neuron_indices
audio--1504195351-headset,"2,13,64,57,1,30,48,9,14,29"
audio--1504195351,"80,30,78,33,71,1,15,27,10,19"
audio--1504195378-headset,"42,27,34,47,22,32,60,64,30,1"
audio--1504195378,"33,63,46,42,72,80,22,19,32,30"
audio--1504195391-headset,"9,13,10,30,80,64,48,33,29,68"
audio--1504195391,"27,46,19,83,10,13,1,42,29,71"
audio--1504195423-headset,"30,15,42,22,34,88,60,54,16,78"
audio--1504195423,"30,10,71,46,57,45,13,33,27,78"
audio--1504195427-headset,"83,33,57,71,64,10,46,72,32,1"
audio--1504195427,"32,9,78,72,13,30,42,19,10,81"
audio--1504195433-headset,"27,70,22,77,2,30,32,33,42,34"
audio--1504195433,"72,13,42,16,9,78,83,81,46,70"
audio--1504195438-headset,"19,64,57,9,22,78,60,16,72,81"
audio--1504195438,"33,42,19,9,1,27,22,81,10,77"
audio--1504195496-headset,"83,46,27,34,80,42,70,48,72,57"
audio--1504195519-headset,"70,71,48,30,15,34,29,2,9,88"
audio--1504195519,"1,70,48,30,83,2,22,27,13,46"
audio--1504195533-headset,"33,19,22,9,34,64,88,81,60,72"
audio--1504195533,"9,34,83,46,81,10,48,70,13,72"
audio--1504195536-headset,"48,2,4,88,71,70,80,18,16,32"
audio--1504195536,"60,47,30,70,10,29,15,64,45,58"
audio--1504195538-headset,"10,54,77,27,48,64,29,88,46,32"
audio--1504195538,"33,48,16,1,77,34,10,42,70,83"
audio--1504195547-headset,"10,32,15,13,45,19,48,81,22,78"
audio--1504195547,"70,2,88,42,29,33,22,19,13,27"
audio--1504195550-headset,"10,81,14,34,2,30,22,77,48,15"
audio--1504195550,"1,34,42,33,45,30,13,80,22,32"
audio--1504195557-headset,"19,16,2,83,42,72,14,80,9,1"
audio--1504195557,"77,81,13,22,83,33,46,15,72,42"
audio--1504197370-headset,"71,48,58,83,30,29,9,32,88,10"
audio--1504197370,"33,30,29,71,46,58,81,34,27,22"
audio--1504197392-headset,"34,48,32,72,19,60,29,22,16,15"
audio--1504197392,"27,46,22,1,33,83,71,13,57,9"
audio--1504197546-headset,"32,27,2,1,19,30,15,33,13,81"
audio--1504197546,"64,77,33,71,34,81,9,80,83,19"
audio--1504197574-headset,"71,72,13,2,15,64,1,29,33,10"
audio--1504197574,"27,34,71,1,70,30,54,60,57,9"
audio--1504197585-headset,"71,72,19,16,83,64,33,32,60,10"
audio--1504197585,"22,71,57,64,83,46,13,78,29,42"
audio--1504197590-headset,"60,10,1,34,16,64,78,19,13,42"
audio--1504197590,"9,27,46,34,72,80,78,70,30,16"
audio--1504197599-headset,"48,30,16,60,70,71,83,32,57,27"
audio--1504197599,"27,83,46,80,78,57,19,81,33,30"
audio--1504197602-headset,"83,22,30,10,72,71,42,15,9,64"
audio--1504197602,"2,57,83,81,27,88,29,33,78,34"
audio--1504197622-headset,"19,15,64,88,42,57,10,32,16,1"
audio--1504197622,"1,34,78,27,9,42,48,64,30,88"
audio--1504197651-headset,"83,81,46,64,32,71,77,72,4,30"
audio--1504197651,"88,77,32,71,27,9,57,16,81,22"
audio--1504197671-headset,"30,45,10,77,15,22,16,2,13,78"
audio--1504197671,"30,27,64,78,42,34,48,71,22,57"
audio--1504197682-headset,"88,70,19,57,60,1,33,78,80,30"
audio--1504197682,"45,9,33,58,13,19,77,22,83,68"
audio--1504197699-headset,"46,13,78,22,29,48,77,1,72,30"
audio--1504197699,"34,2,10,83,46,9,57,4,22,13"
audio--1504197702-headset,"81,71,33,1,78,72,57,64,15,48"
audio--1504197702,"48,2,42,83,47,72,46,32,22,30"
audio--1504197719-headset,"34,88,64,22,16,30,70,2,61,77"
audio--1504197719,"33,9,2,46,77,72,88,57,48,29"
audio--1504197725-headset,"13,10,83,1,15,27,78,81,71,42"
audio--1504197725,"45,83,81,77,46,33,34,1,78,42"
audio--1504197770-headset,"27,33,78,15,48,9,19,4,30,10"
audio--1504197770,"27,83,2,64,72,42,88,70,77,29"
audio--1504197771-headset,"1,30,88,46,64,57,68,16,22,34"
audio--1504197771,"88,57,19,71,34,42,2,48,30,27"
audio--1504197804-headset,"32,30,22,15,42,1,63,64,81,57"
audio--1504197804,"13,27,32,71,42,9,57,81,16,77"
audio--1504197806-headset,"15,19,1,77,63,71,33,83,81,27"
audio--1504197806,"32,78,2,16,71,47,1,10,9,19"
audio--1504197832-headset,"10,88,42,1,27,13,64,68,78,72"
audio--1504197832,"19,13,61,1,72,83,46,2,64,9"
audio--1504197850-headset,"10,22,9,60,57,15,1,63,32,71"
audio--1504197850,"71,70,4,83,34,27,32,29,2,88"
audio--1504197866-headset,"19,80,81,71,22,4,9,33,32,77"
audio--1504197866,"29,70,9,77,60,10,78,57,27,64"
audio--1504197871-headset,"78,10,30,71,46,64,1,32,15,2"
audio--1504197871,"1,57,71,27,72,46,29,78,30,32"
audio--1504197881-headset,"15,63,60,42,64,72,78,27,33,10"
audio--1504197881,"42,32,46,15,80,9,88,13,64,10"
audio--1504197897-headset,"34,1,9,10,33,78,63,2,30,81"
audio--1504197897,"1,83,60,81,16,22,27,58,71,45"
audio--1504197918-headset,"88,27,10,45,48,81,77,15,13,33"
audio--1504197918,"72,13,19,33,77,32,22,42,81,30"
audio--1504197928-headset,"71,16,19,32,34,22,64,9,15,46"
audio--1504197928,"42,78,13,9,22,34,15,19,48,71"
audio--1504197931-headset,"72,58,57,42,15,9,77,33,10,83"
audio--1504197931,"42,13,57,48,81,1,78,63,27,4"
audio--1504197955-headset,"32,42,48,34,13,27,2,72,88,30"
audio--1504197955,"78,30,34,45,1,46,72,33,81,70"
audio--1504197960-headset,"16,63,78,77,64,83,80,46,27,71"
audio--1504197960,"19,10,42,29,72,15,57,22,88,77"
audio--1504197965-headset,"1,83,71,33,2,48,42,9,57,27"
audio--1504197965,"2,32,10,30,42,81,78,71,46,1"
audio--1504197968-headset,"88,34,63,22,77,32,13,45,83,29"
audio--1504197968,"9,2,33,34,71,46,83,15,10,19"
audio--1504197984-headset,"46,22,32,81,71,1,2,48,4,10"
audio--1504197984,"83,34,48,70,22,32,13,42,46,9"
audio--1504197998-headset,"71,29,2,34,33,15,9,57,72,83"
audio--1504197998,"83,33,46,29,14,19,78,48,57,80"
audio--1504198015-headset,"32,33,34,30,71,13,27,9,54,70"
audio--1504198015,"9,30,13,22,32,64,34,81,19,2"
audio--1504198024-headset,"10,33,29,48,64,22,16,72,70,15"
audio--1504198024,"30,29,32,46,34,80,42,81,33,77"
audio--1504198062-headset,"81,19,57,2,15,80,10,22,38,83"
audio--1504198062,"29,48,13,70,9,15,78,10,60,58"
audio--1504198082-headset,"88,1,63,15,2,42,29,13,45,54"
audio--1504198082,"83,34,70,13,9,64,22,71,30,1"
audio--1504198088-headset,"30,71,27,83,72,13,64,88,57,70"
audio--1504198088,"30,32,80,13,10,64,71,34,78,9"
audio--1504198097-headset,"13,19,70,64,48,33,80,29,83,15"
audio--1504198097,"46,57,48,2,83,72,1,71,88,78"
audio--1504198106-headset,"1,2,57,71,78,48,19,72,9,30"
audio--1504198106,"22,60,10,34,71,42,30,57,16,48"
audio--1504198228-headset,"10,30,27,78,34,1,71,33,72,63"
audio--1504198228,"13,2,48,34,22,80,9,29,32,33"
audio--1504198232-headset,"13,30,15,10,64,77,72,78,83,80"
audio--1504198247-headset,"15,57,88,1,19,2,10,63,72,16"
audio--1504198247,"16,22,64,46,13,29,32,10,9,72"
audio--1504198323-headset,"1,32,2,30,34,71,33,9,27,81"
audio--1504198323,"81,42,71,30,22,88,16,78,83,46"
audio--1504198347-headset,"19,1,34,29,13,22,10,58,15,81"
audio--1504198347,"13,33,2,58,48,32,77,81,78,30"
audio--1504198351-headset,"32,78,57,9,42,16,46,70,1,83"
audio--1504198351,"2,42,81,71,34,9,70,22,78,19"
audio--1504198381-headset,"46,70,32,30,71,33,77,34,78,64"
audio--1504198381,"81,83,38,78,13,63,22,33,88,72"
audio--1504198407-headset,"80,42,83,71,29,1,22,13,63,34"
audio--1504198407,"64,22,34,1,9,32,13,29,60,78"
audio--1504198419-headset,"63,33,1,15,78,2,72,3,22,9"
audio--1504198419,"57,45,58,10,30,64,34,33,9,22"
audio--1504198425-headset,"27,1,81,42,64,54,46,48,78,15"
audio--1504198425,"16,22,83,9,13,4,10,77,32,52"
audio--1504198473-headset,"15,70,32,71,34,88,77,83,57,30"
audio--1504198473,"71,9,30,2,46,15,72,64,77,78"
audio--1504198475-headset,"29,83,30,1,19,33,15,34,10,32"
audio--1504198475,"9,77,1,83,27,58,80,48,34,78"
audio--1504198515-headset,"42,71,63,81,19,32,48,10,70,27"
audio--1504198515,"29,70,10,2,13,71,16,72,64,30"
audio--1504198557-headset,"22,19,16,48,46,34,64,81,54,32"
audio--1504198557,"70,48,13,57,9,46,72,30,2,45"
audio--1504198591-headset,"81,33,1,63,27,42,34,13,29,80"
audio--1504198591,"22,88,10,71,34,77,48,83,70,78"
audio--1504198594-headset,"64,32,71,72,63,81,33,1,80,83"
audio--1504198594,"2,9,42,71,88,33,78,32,13,58"
audio--1504198625-headset,"13,1,57,63,88,15,16,9,42,10"
audio--1504198625,"72,71,83,80,33,78,81,19,88,13"
audio--1504198635-headset,"71,33,22,32,9,42,78,19,29,15"
audio--1504198635,"27,88,48,10,2,77,15,32,30,1"
audio--1504198648-headset,"1,71,27,72,68,64,9,80,46,32"
audio--1504198648,"9,77,30,71,32,81,72,2,57,19"
audio--1504198651-headset,"30,19,77,9,10,81,63,13,33,71"
audio--1504198651,"81,70,13,10,22,30,9,71,15,83"
audio--1504198695-headset,"71,13,78,9,27,48,30,64,57,19"
audio--1504198695,"81,10,19,78,64,30,13,47,2,58"
audio--1504198698-headset,"22,27,81,71,10,14,33,9,1,15"
audio--1504198698,"15,34,57,19,1,46,83,16,13,45"
audio--1504198701-headset,"30,64,57,83,33,60,22,32,27,1"
audio--1504198701,"63,30,81,13,42,71,46,1,83,2"
audio--1504198714-headset,"15,27,33,2,46,1,63,22,34,83"
audio--1504198714,"27,83,19,77,33,78,2,1,45,29"
audio--1504198723-headset,"30,10,32,68,88,34,57,63,15,2"
audio--1504198723,"60,78,32,46,88,10,2,34,15,80"
audio--1504198725,"1,57,63,71,34,10,77,33,30,15"
audio--1504198727-headset,"9,19,27,33,77,13,2,57,64,29"
audio--1504198727,"19,30,72,71,1,34,29,83,33,22"
audio--1504198735-headset,"70,9,72,71,22,57,80,29,88,42"
audio--1504198735,"45,78,80,13,19,30,83,9,42,1"
audio--1504198738-headset,"32,34,80,42,29,60,81,27,30,46"
audio--1504198738,"57,13,34,9,27,64,88,22,48,19"
audio--1504198757-headset,"1,22,71,57,32,30,27,10,15,63"
audio--1504198757,"64,15,32,13,46,10,27,9,63,30"
audio--1504198760-headset,"30,72,46,32,2,34,9,33,58,71"
audio--1504198760,"70,13,46,71,22,29,57,88,78,80"
audio--1504198763-headset,"48,34,1,2,32,72,64,10,71,13"
audio--1504198763,"71,46,57,9,13,33,2,81,34,10"
audio--1504198809-headset,"42,45,78,30,54,33,1,13,72,10"
audio--1504198809,"27,57,9,81,88,4,33,71,77,72"
audio--1504198820,"77,10,88,33,13,2,72,48,64,19"
audio--1505323754-headset,"33,32,19,77,34,72,22,10,46,30"
audio--1505323754,"77,60,64,88,72,33,81,34,69,22"
audio--1505323780-headset,"48,27,46,32,72,15,13,54,2,88"
audio--1505323780,"15,29,30,1,83,13,57,48,32,71"
audio--1505323793-headset,"78,1,33,30,2,83,70,46,71,19"
audio--1505323793,"57,14,2,32,19,15,77,71,83,22"
audio--1505323813-headset,"88,1,19,9,42,10,33,16,2,15"
audio--1505323813,"63,48,83,22,64,57,15,32,13,2"
audio--1505323857-headset,"71,64,88,30,2,57,48,13,77,4"
audio--1505323857,"2,58,33,9,45,63,57,77,72,32"
audio--1505323894-headset,"33,42,2,1,83,32,10,46,13,78"
audio--1505323894,"10,32,64,71,63,27,29,83,2,34"
audio--1505323938-headset,"15,2,10,71,9,32,13,57,72,30"
audio--1505323938,"46,34,32,72,83,22,80,30,78,48"
audio--1505323970-headset,"13,83,19,88,57,42,10,30,9,34"
audio--1505323970,"4,81,88,30,19,71,80,45,9,27"
audio--1505323989-headset,"46,32,64,77,9,88,27,4,29,16"
audio--1505323989,"54,30,77,46,78,29,2,9,13,10"
audio--1505323996-headset,"46,9,13,45,81,34,16,1,22,42"
audio--1505323996,"48,9,22,10,71,81,13,2,1,30"
audio--1505324016-headset,"4,10,13,34,48,77,29,16,88,80"
audio--1505324016,"13,1,71,9,27,57,78,64,30,33"
audio--1505324814-headset,"13,32,27,10,54,57,77,60,4,2"
audio--1505324814,"33,30,29,19,15,57,22,81,83,78"
audio--1505324836-headset,"10,9,42,33,30,16,19,29,63,1"
audio--1505324836,"30,78,13,29,71,77,81,19,45,60"
audio--1505324847-headset,"34,45,88,29,10,72,32,57,19,15"
audio--1505324847,"48,33,83,71,88,64,13,30,2,57"
audio--1505324854-headset,"2,13,80,64,60,16,77,83,45,32"
audio--1505324854,"34,81,33,83,1,45,70,57,78,30"
audio--1505324879-headset,"19,22,13,10,34,30,9,45,1,57"
audio--1505324879,"71,34,57,32,72,88,13,30,64,78"
audio--1505324882-headset,"1,58,70,78,32,88,10,57,30,48"
audio--1505324882,"71,77,33,42,64,63,57,4,34,83"
audio--1505324888-headset,"2,33,30,72,45,4,88,10,46,1"
audio--1505324888,"19,10,33,71,60,27,57,77,22,46"
audio--1505324940-headset,"42,22,9,13,81,72,46,64,2,71"
audio--1505324940,"72,34,27,46,63,9,64,2,33,83"
audio--1505404136-headset,"32,33,72,57,68,83,78,60,27,48"
audio--1505404136,"30,88,19,83,32,2,9,70,77,57"
audio--1505404143-headset,"15,54,48,72,10,30,77,29,19,70"
audio--1505404143,"30,64,29,32,78,70,10,33,34,72"
audio--1505404219-headset,"83,9,58,34,33,80,32,72,2,57"
audio--1505404219,"19,48,34,29,78,13,42,33,57,14"
audio--1505404272-headset,"29,30,27,42,15,77,71,78,32,70"
audio--1505404272,"34,48,22,80,45,9,1,15,30,83"
audio--1505404290-headset,"2,29,45,81,70,57,15,27,58,64"
audio--1505404290,"30,78,29,13,42,33,2,57,64,71"
audio--1505404321-headset,"30,4,64,34,60,80,13,22,16,46"
audio--1505404321,"46,70,13,45,27,54,9,22,33,48"
audio--1505404328-headset,"13,72,19,34,60,33,9,46,2,71"
audio--1505404328,"15,34,10,42,48,33,13,32,81,1"
audio--1505404351-headset,"4,88,77,13,81,46,72,57,34,10"
audio--1505404351,"88,45,71,13,46,78,57,34,22,4"
audio--1505404392-headset,"72,1,16,30,22,78,19,71,15,81"
audio--1505404392,"46,72,27,71,13,10,29,83,81,19"
audio--1505404406-headset,"30,27,77,33,64,42,9,13,83,72"
audio--1505404406,"30,81,48,15,83,29,46,33,32,54"
audio--1505404454-headset,"22,30,42,27,71,13,45,29,54,72"
audio--1505404454,"22,42,1,33,16,32,4,63,70,29"
audio--1505404688-headset,"1,83,33,30,77,81,32,29,15,64"
audio--1505404688,"1,83,29,88,27,57,22,70,33,30"
audio--1505404739-headset,"13,1,16,71,30,78,19,60,10,64"
audio--1505404739,"42,71,48,33,46,9,1,81,29,10"
audio--1505404815-headset,"81,71,2,9,22,15,88,16,13,52"
audio--1505404815,"33,42,16,72,71,34,22,2,78,80"
audio--1505404838-headset,"13,81,27,30,42,33,78,71,46,47"
audio--1505404838,"1,57,46,9,88,64,2,71,34,72"
audio--1505404856-headset,"42,1,30,69,72,64,63,83,88,10"
audio--1505404856,"42,30,32,48,15,83,71,78,13,34"
audio--1505404892-headset,"81,10,22,1,83,48,88,78,30,27"
audio--1505404892,"13,72,22,32,9,16,10,71,78,29"
audio--1505404969-headset,"69,72,64,88,71,13,2,46,81,16"
audio--1505404969,"57,22,46,70,88,30,27,33,77,29"
audio--1505404977-headset,"72,83,1,33,13,88,77,42,2,4"
audio--1505404977,"48,29,71,2,57,30,1,83,78,46"
audio--1505404988-headset,"2,57,22,32,34,60,27,71,16,10"
audio--1505404988,"30,22,81,33,32,13,27,42,46,1"
audio--1505405020-headset,"1,2,64,70,42,15,19,83,10,57"
audio--1505405020,"27,19,33,88,77,57,46,30,10,83"
audio--1505405040-headset,"48,30,15,88,27,2,4,46,70,32"
audio--1505405040,"78,13,10,2,71,88,30,9,33,48"
audio--1505405065,"78,81,30,72,77,27,13,9,19,10"
audio--1505405127-headset,"1,57,15,34,71,77,78,10,70,88"
audio--1505405127,"29,10,72,27,13,15,54,9,4,46"
audio--1505405235-headset,"27,72,30,45,48,13,34,88,9,71"
audio--1505405235,"30,48,78,33,34,32,2,19,1,83"
audio--1505405273-headset,"72,10,77,32,33,27,42,30,34,46"
audio--1505405273,"13,9,70,29,22,27,83,57,10,33"
audio--1505405316-headset,"22,1,19,13,88,27,71,81,64,57"
audio--1505405316,"13,46,32,22,30,45,81,72,83,48"
audio--1505405325-headset,"15,42,78,64,72,10,13,9,60,88"
audio--1505405325,"42,64,32,81,80,77,33,83,72,30"
audio--1505405343-headset,"13,48,15,46,80,78,33,83,19,1"
audio--1505405343,"30,70,34,13,71,10,78,15,64,9"
audio--1505405346-headset,"15,16,60,22,1,88,80,42,64,72"
audio--1505405346,"77,10,34,32,72,64,2,78,1,71"
audio--1505405373-headset,"32,81,33,48,22,83,15,57,77,70"
audio--1505405373,"2,45,83,16,13,19,10,81,9,48"
audio--1505405413-headset,"30,81,2,46,19,70,64,29,16,57"
audio--1505405413,"33,72,88,10,2,80,29,32,60,27"
audio--1505405417-headset,"63,72,46,32,13,22,81,83,27,70"
audio--1505405417,"13,58,42,9,77,27,34,57,33,72"
audio--1505405444-headset,"32,83,15,71,30,78,60,2,34,1"
audio--1505405444,"13,57,77,70,30,34,83,78,14,48"
audio--1505405450-headset,"33,27,71,57,13,60,19,9,1,80"
audio--1505405450,"48,81,70,42,15,88,1,83,30,63"
audio--1505405457-headset,"34,13,72,2,32,46,70,22,81,10"
audio--1505405457,"1,19,42,29,9,46,48,13,81,78"
audio--1505405510-headset,"29,70,72,71,32,9,13,15,48,10"
audio--1505405510,"83,81,10,22,19,33,30,34,32,9"
audio--1505405528-headset,"13,42,34,1,83,64,22,32,29,81"
audio--1505405528,"63,2,30,34,19,78,45,10,71,27"
audio--1505405556-headset,"32,30,10,83,64,33,29,19,70,1"
audio--1505405556,"34,42,27,2,48,19,13,29,9,45"
audio--1505405562-headset,"46,30,71,64,42,10,33,16,13,34"
audio--1505405562,"9,15,29,30,1,77,46,78,70,42"
audio--1505405657-headset,"2,30,64,54,48,10,60,9,15,32"
audio--1505405657,"22,19,1,48,63,72,29,77,42,70"
audio--1505405672-headset,"32,45,48,42,64,46,71,68,78,1"
audio--1505405672,"81,78,22,70,30,77,29,88,32,45"
audio--1505405690-headset,"78,33,9,29,72,70,32,2,13,30"
audio--1505405690,"9,71,16,32,30,22,27,48,42,2"
audio--1505405711-headset,"71,83,72,1,46,19,48,77,9,13"
audio--1505405711,"63,88,29,57,48,78,42,34,80,58"
audio--1505405747-headset,"2,9,30,10,45,32,29,71,33,13"
audio--1505405747,"13,63,33,19,57,1,72,78,71,30"
audio--1505405779-headset,"83,13,48,71,15,88,46,10,81,22"
audio--1505405779,"30,57,78,9,29,27,22,46,63,32"
audio--1505405785-headset,"30,46,88,42,27,81,15,22,63,1"
audio--1505405785,"46,1,70,22,48,30,34,13,60,29"
audio--1505405792-headset,"30,71,72,15,78,13,70,34,16,48"
audio--1505405792,"19,34,83,29,16,81,57,77,32,9"
audio--1505405804-headset,"46,83,10,34,33,19,2,70,27,1"
audio--1505405804,"1,30,27,32,10,2,9,46,34,63"
audio--1505405813-headset,"10,81,30,48,1,72,27,88,70,46"
audio--1505405813,"72,54,33,71,4,1,15,27,19,46"
audio--1505405829-headset,"83,15,1,71,78,57,16,30,32,34"
audio--1505405829,"27,1,77,42,19,78,2,16,32,88"
audio--1505405834-headset,"32,88,45,83,77,72,42,9,78,81"
audio--1505405834,"48,10,70,71,2,29,78,88,83,1"
audio--1505405839-headset,"15,29,46,78,13,32,2,50,54,70"
audio--1505405839,"30,1,13,42,33,32,27,57,46,58"
audio--1505405841-headset,"10,33,72,60,46,9,78,57,32,30"
audio--1505405841,"32,10,54,22,30,88,9,13,72,19"
audio--1505405859-headset,"81,9,27,32,13,33,46,29,71,78"
audio--1505405859,"22,29,15,10,42,30,88,48,19,13"
audio--1505405963-headset,"78,27,9,19,29,46,33,2,1,77"
audio--1505405963,"72,32,19,78,57,4,42,83,34,22"
audio--1505405973-headset,"72,54,27,33,32,30,10,88,78,2"
audio--1505405973,"57,42,32,83,29,88,1,10,78,77"
audio--1505406003,"81,72,27,42,45,33,9,13,88,78"
audio--1505406039-headset,"88,64,9,19,83,57,1,78,30,68"
audio--1505406039,"72,30,22,83,70,33,9,48,45,77"
audio--1505406055-headset,"29,45,2,42,32,9,13,80,63,1"
audio--1505406055,"77,29,30,81,2,22,83,13,27,10"
audio--1505406135-headset,"34,13,2,72,22,71,83,33,46,81"
audio--1505406135,"4,22,42,81,30,46,16,2,70,57"
audio--1505406152-headset,"33,77,78,88,44,68,19,72,58,81"
audio--1505406152,"48,27,72,22,42,30,9,46,83,78"
audio--1505406212-headset,"71,13,42,30,78,1,15,48,34,64"
audio--1505406253-headset,"77,64,81,27,70,10,48,2,88,32"
audio--1505406253,"33,10,29,48,64,42,83,9,14,16"
audio--1505406284-headset,"64,46,57,71,30,81,83,70,13,27"
audio--1505406284,"29,13,1,78,52,72,32,30,70,57"
audio--1505406398-headset,"30,2,13,15,9,72,29,4,19,1"
audio--1505406398,"22,34,71,2,33,1,10,27,9,57"
audio--1505406402-headset,"32,81,45,77,10,46,78,27,33,72"
audio--1505406402,"9,22,70,13,57,81,2,63,72,42"
audio--1505406492-headset,"30,64,71,46,48,68,42,83,16,9"
audio--1505406492,"83,64,33,19,27,46,10,57,30,9"
audio--1505406509-headset,"34,1,27,22,13,29,81,83,19,64"
audio--1505406509,"72,46,1,32,78,19,88,54,34,4"
audio--1505406513-headset,"83,19,10,57,54,15,30,9,78,64"
audio--1505406513,"13,34,48,71,9,19,14,64,83,27"
audio--1505406540-headset,"30,27,57,78,81,19,29,46,33,15"
audio--1505406540,"42,9,83,33,71,30,13,10,1,70"
audio--1505406542-headset,"60,88,9,13,1,42,54,57,30,15"
audio--1505406542,"33,22,80,29,9,81,71,57,34,60"
audio--1505406605-headset,"42,83,34,19,88,48,64,30,2,15"
audio--1505406605,"2,16,33,70,78,10,32,69,19,13"
audio--1505406609-headset,"48,1,15,29,19,46,32,33,63,34"
audio--1505406609,"22,80,46,70,42,48,33,19,45,34"
audio--1505406630-headset,"32,27,22,19,42,64,80,13,30,54"
audio--1505406630,"1,80,27,45,16,30,4,34,57,46"
audio--1505406774-headset,"42,54,1,63,22,88,30,2,32,48"
audio--1505406774,"77,48,78,64,9,22,71,72,19,46"
audio--1505406797-headset,"16,10,83,81,13,48,27,29,15,19"
audio--1505406797,"22,10,19,88,81,34,13,71,78,30"
audio--1505406801-headset,"30,78,32,64,48,34,33,15,22,10"
audio--1505406801,"81,10,9,1,45,48,80,32,33,78"
audio--1505406805-headset,"72,57,15,33,42,19,48,27,81,71"
audio--1505406805,"19,29,57,27,81,34,70,33,13,83"
audio--1505406815-headset,"33,19,83,9,46,34,1,15,72,13"
audio--1505406815,"27,1,10,32,13,77,78,72,34,57"
audio--1505406830-headset,"45,29,19,30,33,32,2,46,81,78"
audio--1505406830,"72,42,29,83,22,34,70,81,30,88"
audio--1505406920-headset,"58,1,22,45,34,13,70,77,29,32"
audio--1505406920,"77,2,13,72,10,48,30,15,34,29"
audio--1505406926-headset,"32,19,27,2,64,10,78,9,83,15"
audio--1505406926,"16,22,2,32,33,57,29,83,70,71"
audio--1505406971-headset,"46,78,57,68,29,32,54,88,27,48"
audio--1505406971,"33,2,71,81,16,10,48,27,30,1"
audio--1505406974-headset,"78,30,29,9,71,81,34,70,83,33"
audio--1505406974,"1,64,71,30,38,34,32,19,33,88"
audio--1505406984-headset,"88,27,32,81,72,57,30,77,71,48"
audio--1505406984,"1,27,32,10,71,81,30,15,2,42"
audio--1505406999-headset,"30,68,77,64,81,16,48,72,83,34"
audio--1505406999,"48,4,30,13,57,9,72,83,78,71"
audio--1505407014-headset,"22,30,19,10,71,68,88,46,64,1"
audio--1505407014,"57,27,52,88,15,10,46,63,29,22"
audio--1505407075-headset,"2,34,81,57,80,64,42,71,30,32"
audio--1505407075,"9,57,33,32,63,80,72,46,48,30"
audio--1505407078-headset,"13,83,10,34,15,81,42,71,1,88"
audio--1505407078,"32,88,70,2,42,48,64,30,15,37"
audio--1505407089-headset,"72,46,13,33,19,2,29,45,88,71"
audio--1505407089,"63,78,72,16,2,29,68,88,30,1"
audio--1505407102-headset,"15,42,48,29,77,13,30,60,19,32"
audio--1505407102,"1,46,32,48,13,27,2,30,77,34"
audio--1505407110-headset,"72,88,46,42,30,2,10,15,16,83"
audio--1505407110,"72,14,71,19,83,48,81,27,45,1"
audio--1505407153-headset,"71,13,77,2,64,70,32,81,29,68"
audio--1505407153,"57,60,42,33,88,4,19,83,34,30"
audio--1505407159-headset,"1,19,15,63,80,30,10,27,60,88"
audio--1505407159,"2,42,33,9,22,48,1,27,71,81"
audio--1505407162-headset,"13,32,15,33,63,88,64,30,16,57"
audio--1505407162,"88,33,22,34,2,13,1,71,77,30"
audio--1505407196-headset,"15,64,77,32,83,19,48,10,34,29"
audio--1505407196,"33,2,27,42,1,9,80,77,81,15"
audio--1505407208-headset,"34,29,46,10,22,9,30,15,63,72"
audio--1505407208,"48,68,27,30,9,81,29,78,46,71"
audio--1505407222-headset,"81,9,42,71,48,13,10,72,2,22"
audio--1505407222,"22,10,32,46,64,81,88,48,1,71"
audio--1505407237-headset,"32,77,10,80,33,30,72,71,64,78"
audio--1505407237,"10,29,27,81,32,72,4,16,48,2"
audio--1505407245-headset,"46,71,57,30,42,9,88,34,13,32"
audio--1505407245,"57,83,19,22,42,29,34,46,71,10"
audio--1505407262,"88,27,22,9,42,60,10,38,63,13"
audio--1505407266-headset,"32,81,15,22,27,30,64,77,57,42"
audio--1505407266,"9,16,1,27,22,13,72,29,33,54"
audio--1505407299-headset,"81,22,19,71,1,63,15,42,33,50"
audio--1505407299,"48,2,13,88,77,10,64,34,32,22"
audio--1505407304-headset,"33,64,15,19,68,57,71,13,32,80"
audio--1505407304,"88,29,30,10,64,83,72,32,27,70"
audio--1505407374-headset,"71,57,46,88,34,33,29,83,10,58"
audio--1505407374,"83,30,64,88,71,9,19,48,4,22"
audio--1505407401-headset,"9,2,57,88,1,13,30,48,33,81"
audio--1505407401,"15,42,72,19,2,32,81,27,70,77"
audio--1505407530-headset,"64,42,14,30,2,81,10,34,72,19"
audio--1505407530,"13,88,57,83,29,22,33,1,72,27"
audio--1505407548-headset,"27,2,13,64,34,83,72,32,30,4"
audio--1505407548,"30,16,42,33,15,72,81,45,83,48"
audio--1505407599-headset,"30,71,48,81,88,78,22,19,46,58"
audio--1505407599,"10,27,72,29,48,57,1,33,9,13"
audio--1505407616-headset,"2,15,48,64,22,13,42,27,10,19"
audio--1505407616,"71,10,1,27,83,32,19,22,77,34"
audio--1505407620-headset,"34,83,13,22,9,42,72,47,19,15"
audio--1505407620,"1,34,88,30,22,70,4,32,83,57"
audio--1505407632-headset,"27,32,1,30,29,70,81,83,42,34"
audio--1505407632,"46,42,57,10,1,33,27,29,70,22"
audio--1505407637-headset,"10,48,88,34,46,2,57,78,71,1"
audio--1505407637,"27,13,30,32,22,19,72,46,80,9"
audio--1506077996-headset,"10,33,19,1,2,16,30,15,46,42"
audio--1506077996,"29,1,71,70,15,57,9,10,42,78"
audio--1506078013-headset,"88,70,19,81,77,63,46,15,83,48"
audio--1506078013,"32,15,72,13,19,42,2,9,22,80"
